TRAVELER_ID,GENDER,AGE_GRP,MARR_STTS,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_FREQ,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8
f001013,1,0.25,1,0,0.2727272727272727,0.5454545454545454,0.45098039215686275,0.8333333333333334,1.0,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334
f008367,1,0.25,0,0,0.2727272727272727,0.5454545454545454,0.0784313725490196,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.5
f015276,1,0.0,0,0,0.2727272727272727,0.45454545454545453,0.21568627450980393,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,1.0,1.0
f016414,1,0.0,0,1,0.0,0.36363636363636365,0.0392156862745098,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.6666666666666666
f005512,1,0.0,0,1,0.18181818181818182,1.0,0.21568627450980393,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333334
f005780,0,0.25,0,0,0.2727272727272727,0.45454545454545453,0.21568627450980393,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
f000834,0,0.5,1,0,0.36363636363636365,0.7272727272727273,0.45098039215686275,0.5,0.0,0.16666666666666666,0.5,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334
f002612,1,0.0,0,0,0.2727272727272727,0.2727272727272727,0.2908096423424604,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.0
f000894,0,0.0,0,1,0.09090909090909091,0.5454545454545454,0.0392156862745098,0.5,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334
f004462,0,0.5,1,0,0.6363636363636364,0.6363636363636364,0.45098039215686275,0.5,0.16666666666666666,0.5,0.5,0.3333333333333333,0.8333333333333334,0.0,0.16666666666666666
f014410,1,0.5,1,0,0.0,0.5454545454545454,0.09803921568627451,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.6666666666666666
f011771,1,0.0,0,1,0.0,0.2727272727272727,0.0196078431372549,0.6666666666666666,0.6666666666666666,1.0,0.8333333333333334,1.0,0.8333333333333334,0.3333333333333333,0.0
f010822,0,0.0,0,0,0.36363636363636365,0.7272727272727273,0.45098039215686275,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334
f003966,1,0.0,0,0,0.09090909090909091,0.36363636363636365,0.2908096423424604,0.5,0.0,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.8333333333333334
f001560,0,0.5,1,0,0.5454545454545454,0.8181818181818182,0.45098039215686275,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.6666666666666666
f001196,0,0.25,0,0,0.2727272727272727,0.36363636363636365,0.21568627450980393,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.5,0.6666666666666666,1.0
f010933,0,0.5,1,0,0.36363636363636365,0.7272727272727273,0.9215686274509803,0.0,0.0,0.6666666666666666,0.5,0.8333333333333334,0.5,0.6666666666666666,1.0
f000769,1,0.0,0,0,0.2727272727272727,1.0,0.0196078431372549,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,1.0,0.6666666666666666
f004461,1,0.0,0,0,0.2727272727272727,1.0,0.21568627450980393,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.3333333333333333
f013084,0,0.0,0,0,0.18181818181818182,0.2727272727272727,0.09803921568627451,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.8333333333333334
f001037,0,0.25,1,0,0.5454545454545454,0.5454545454545454,0.09803921568627451,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.8333333333333334
f012364,0,0.0,0,0,0.2727272727272727,0.2727272727272727,0.0784313725490196,0.5,0.16666666666666666,0.5,0.16666666666666666,0.5,0.5,0.5,0.5
f006388,1,0.75,1,0,0.36363636363636365,0.36363636363636365,0.21568627450980393,0.5,0.0,0.8333333333333334,0.5,0.0,0.6666666666666666,0.8333333333333334,1.0
f016106,1,0.0,0,0,0.2727272727272727,0.36363636363636365,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
f000905,1,0.0,0,0,0.2727272727272727,0.8181818181818182,0.0392156862745098,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,0.5
f001696,1,1.0,1,0,0.45454545454545453,0.8181818181818182,0.0196078431372549,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,0.3333333333333333,0.16666666666666666
f004588,1,1.0,1,0,0.36363636363636365,0.5454545454545454,0.0392156862745098,0.5,0.16666666666666666,0.0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333
f010463,1,0.5,1,0,0.0,0.45454545454545453,0.0196078431372549,0.5,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.8333333333333334
f013677,1,0.25,0,0,0.0,0.2727272727272727,0.058823529411764705,0.0,0.0,0.0,0.16666666666666666,0.5,0.3333333333333333,0.0,1.0
f013407,1,0.0,0,0,0.2727272727272727,0.5454545454545454,0.09803921568627451,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333334,0.0,1.0
f016488,1,0.0,0,0,0.18181818181818182,0.6363636363636364,0.2908096423424604,0.5,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.8333333333333334
f005281,0,0.25,0,0,0.2727272727272727,0.5454545454545454,0.21568627450980393,0.5,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.6666666666666666
f002554,0,0.0,0,0,0.2727272727272727,0.6363636363636364,0.21568627450980393,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334
f000799,0,0.5,1,0,0.45454545454545453,0.7272727272727273,0.45098039215686275,0.8333333333333334,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
f008442,0,0.0,0,0,0.2727272727272727,0.7272727272727273,0.45098039215686275,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334
f002503,1,0.75,1,0,0.0,0.36363636363636365,0.21568627450980393,0.5,0.0,0.3333333333333333,0.5,1.0,0.5,0.0,1.0
f012380,0,0.25,0,0,0.09090909090909091,0.18181818181818182,0.0392156862745098,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.5
f009168,1,0.5,1,0,0.36363636363636365,0.6363636363636364,0.6862745098039216,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
f014380,1,0.0,0,1,0.0,0.2727272727272727,0.0196078431372549,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334
f001881,1,0.25,1,0,0.2727272727272727,0.5454545454545454,0.21568627450980393,0.5,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.6666666666666666
f008892,1,0.0,0,0,0.18181818181818182,0.2727272727272727,0.21568627450980393,0.5,0.0,1.0,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0
f001350,1,0.75,1,0,0.18181818181818182,0.45454545454545453,0.45098039215686275,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.5,0.5,0.16666666666666666,0.5
f016393,1,0.5,1,0,0.2727272727272727,0.5454545454545454,0.2908096423424604,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5,0.8333333333333334
f008592,1,0.25,1,0,0.36363636363636365,0.6363636363636364,0.058823529411764705,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.5,0.8333333333333334,0.0,0.8333333333333334
f001503,0,0.75,1,0,0.45454545454545453,0.6363636363636364,0.0784313725490196,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5
f014875,1,0.25,0,1,0.0,0.36363636363636365,0.21568627450980393,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.5,0.3333333333333333,0.0,1.0
f003868,1,0.5,0,0,0.2727272727272727,0.2727272727272727,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333
f011416,1,0.25,0,1,0.18181818181818182,0.5454545454545454,0.0392156862745098,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.6666666666666666
f015468,1,0.5,1,0,0.2727272727272727,0.36363636363636365,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.6666666666666666,0.6666666666666666
f010597,0,0.0,0,1,0.09090909090909091,0.6363636363636364,0.5686274509803921,0.16666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.8333333333333334
f000855,1,1.0,1,0,0.0,0.7272727272727273,0.058823529411764705,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666
f002647,0,0.0,1,0,0.2727272727272727,0.5454545454545454,0.058823529411764705,0.0,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.5
f001963,1,0.0,0,0,0.2727272727272727,0.5454545454545454,0.21568627450980393,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.6666666666666666,0.3333333333333333
f004522,0,1.0,1,0,0.36363636363636365,0.36363636363636365,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
f001484,1,0.75,1,0,0.9090909090909091,1.0,0.45098039215686275,0.5,0.16666666666666666,0.8333333333333334,0.0,0.0,0.6666666666666666,1.0,0.5
f016039,0,0.75,1,0,0.36363636363636365,0.45454545454545453,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.5
f015540,1,0.25,0,0,0.2727272727272727,0.36363636363636365,0.0196078431372549,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666
f001547,1,0.5,1,0,0.0,0.45454545454545453,0.45098039215686275,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8333333333333334
f000592,1,1.0,1,0,0.18181818181818182,0.45454545454545453,0.45098039215686275,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333
f005947,0,0.0,0,1,0.09090909090909091,0.45454545454545453,0.058823529411764705,0.5,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334
