COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,e_e003507,10,2,5,1
4,e_e003507,10,2,5,1
1,e_e003507,10,2,5,1
3,e_e003507,10,2,5,1
1,e_e003522,8,2,3,3
1,e_e003595,1,1,4,1
1,e_e003597,2,2,3,1
2,e_e003597,2,1,1,1
1,e_e003600,1,1,5,1
2,e_e003606,9,2,4,3
4,e_e003606,9,2,3,3
1,e_e003606,9,2,4,1
3,e_e003606,9,2,3,3
5,e_e003606,9,1,3,3
1,e_e003607,7,2,3,1
1,e_e003624,1,1,4,1
1,e_e003654,7,2,3,1
1,e_e003685,2,2,3,1
1,e_e003704,1,1,7,1
1,e_e003720,7,2,3,1
1,e_e003722,8,1,3,1
1,e_e003728,7,1,3,1
2,e_e003739,9,1,5,3
4,e_e003739,9,1,4,3
6,e_e003739,9,2,4,1
1,e_e003739,9,1,5,3
3,e_e003739,9,1,4,3
5,e_e003739,9,1,4,3
1,e_e003742,8,1,4,1
1,e_e003759,8,1,3,1
1,e_e003770,8,1,4,1
2,e_e003785,7,2,3,1
1,e_e003785,7,2,3,1
3,e_e003785,7,2,3,1
1,e_e003800,7,2,3,1
2,e_e003805,2,2,1,1
1,e_e003805,1,1,5,1
1,e_e003835,8,2,4,1
1,e_e003841,8,2,3,3
1,e_e003846,1,1,5,1
2,e_e003846,2,1,1,1
1,e_e003851,3,2,8,1
3,e_e003851,2,2,3,1
2,e_e003851,1,1,5,1
1,e_e003879,7,2,3,1
1,e_e003890,8,1,3,1
4,e_e003905,5,2,3,3
1,e_e003905,3,1,7,1
3,e_e003905,5,1,4,3
2,e_e003905,3,2,7,1
1,e_e003954,1,1,4,1
1,e_e003962,1,2,4,1
1,e_e003964,8,1,4,1
1,e_e003985,1,1,4,1
1,e_e004025,1,1,5,1
3,e_e004025,2,1,2,1
2,e_e004025,2,2,2,1
2,e_e004034,3,2,6,1
1,e_e004034,3,1,7,1
3,e_e004034,5,1,4,1
1,e_e004065,1,2,5,1
1,e_e004130,1,1,4,1
3,e_e004130,2,1,1,1
2,e_e004130,2,1,1,1
4,e_e004130,2,1,1,1
2,e_e004152,2,2,2,1
1,e_e004152,1,1,5,1
3,e_e004152,2,1,1,1
1,e_e004184,8,1,3,1
1,e_e004186,2,1,1,1
3,e_e004186,2,1,1,1
2,e_e004186,2,2,1,1
1,e_e004200,1,1,4,1
2,e_e004239,2,2,2,1
1,e_e004239,1,2,5,1
1,e_e004244,7,1,4,1
2,e_e004260,7,2,3,1
1,e_e004260,7,2,3,1
1,e_e004321,7,1,3,1
2,e_e004331,2,1,1,1
1,e_e004331,1,2,4,1
1,e_e004335,8,1,4,3
1,e_e004390,1,2,4,1
3,e_e004390,2,2,1,1
2,e_e004390,2,1,1,1
4,e_e004390,2,1,1,1
1,e_e004429,2,2,1,1
1,e_e004439,7,2,3,1
1,e_e004446,8,1,4,1
2,e_e004446,6,2,1,1
1,e_e004448,7,1,3,3
3,e_e004448,7,1,3,3
2,e_e004448,7,1,3,3
4,e_e004448,7,1,3,1
1,e_e004502,7,2,3,3
3,e_e004502,7,2,3,3
2,e_e004502,7,2,3,3
1,e_e004504,8,2,3,1
1,e_e004533,8,1,3,1
1,e_e004578,8,1,4,3
1,e_e004601,1,1,5,1
3,e_e004601,2,1,1,1
2,e_e004601,2,2,1,1
1,e_e004670,2,2,2,1
1,e_e004684,1,2,4,1
2,e_e004684,2,2,1,1
1,e_e004707,1,2,3,1
2,e_e004708,2,2,1,1
1,e_e004708,1,2,5,1
1,e_e004721,8,1,3,1
1,e_e004808,8,1,3,3
1,e_e004855,8,1,4,1
1,e_e004880,1,1,4,1
1,e_e004884,1,2,3,1
1,e_e004897,7,2,3,1
2,e_e004897,7,2,3,1
2,e_e005021,7,2,3,1
1,e_e005021,7,1,3,1
3,e_e005021,7,2,3,1
1,e_e005167,8,1,3,3
1,e_e005212,1,2,4,1
1,e_e005230,8,2,3,1
1,e_e005249,1,2,3,1
1,e_e005293,5,2,4,3
1,e_e005312,1,2,4,1
2,e_e005312,2,1,1,1
2,e_e005353,3,2,6,1
4,e_e005353,5,2,2,1
1,e_e005353,3,1,6,1
3,e_e005353,5,2,3,1
1,e_e005360,7,1,4,1
1,e_e005384,3,2,6,1
1,e_e005399,8,2,4,1
2,e_e005404,2,1,1,1
1,e_e005404,1,1,4,1
3,e_e005404,2,2,1,1
1,e_e005480,7,2,3,1
1,e_e005567,3,1,6,1
3,e_e005567,5,2,3,1
2,e_e005567,3,2,6,1
1,e_e005568,8,1,3,1
1,e_e005661,7,2,5,1
1,e_e005709,2,1,2,1
2,e_e005709,1,1,6,1
2,e_e005938,7,1,4,1
1,e_e005938,7,1,4,1
3,e_e005938,7,1,4,1
1,e_e006039,1,1,5,1
3,e_e006039,2,1,1,1
5,e_e006039,3,2,7,3
7,e_e006039,6,2,1,3
2,e_e006039,2,2,2,1
4,e_e006039,3,1,8,3
6,e_e006039,6,2,5,3
8,e_e006039,6,1,1,3
1,e_e006161,7,2,4,1
1,e_e006195,1,2,5,1
3,e_e006195,2,1,2,1
2,e_e006195,2,2,3,1
1,e_e006466,8,2,4,1
1,e_e006553,8,2,4,1
1,e_e006570,1,2,5,1
1,e_e006857,1,1,5,1
3,e_e006857,5,2,5,3
2,e_e006857,2,2,1,1
4,e_e006857,3,2,8,1
1,e_e006917,2,2,1,1
2,e_e006917,6,2,2,1
1,e_e007167,1,1,5,1
2,e_e007167,2,1,1,1
1,e_e007268,1,1,5,1
3,e_e007268,2,1,1,1
2,e_e007268,2,2,2,1
1,e_e007368,8,1,3,1
2,e_e007496,1,2,4,1
1,e_e007496,3,2,7,1
1,e_e007714,2,2,3,1
2,e_e007714,1,2,6,3
1,e_e007762,1,2,5,1
2,e_e007762,2,1,1,1
1,e_e007844,1,1,5,1
1,e_e008048,8,2,4,1
1,e_e008226,8,1,4,3
1,e_e009028,8,1,3,1
1,e_e009287,1,1,5,1
3,e_e009287,2,2,2,1
2,e_e009287,2,2,2,1
1,e_e009659,3,2,6,1
3,e_e010104,2,2,2,1
5,e_e010104,7,2,5,1
7,e_e010104,2,1,2,1
2,e_e010104,2,1,2,1
4,e_e010104,2,2,1,1
6,e_e010104,2,2,2,1
1,e_e010104,1,1,5,1
1,e_e010251,1,1,5,1
3,e_e010251,2,2,1,1
2,e_e010251,2,1,2,1
1,e_e010265,8,2,3,1
1,e_e011371,8,1,3,1
1,e_e011693,1,1,4,1
2,e_e011693,2,2,1,1
3,e_e012167,2,2,2,1
