TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,CLUSTER,CLUSTER_NEW
e003419,1,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,2.0,5
e002760,0,0.25,1.0,0.1666666666666666,0.1666666666666666,1.0,0.0,0.8333333333333334,0.0,6
e001132,0,0.0,0.5,0.0,0.1666666666666666,0.5,0.1666666666666666,0.8333333333333334,2.0,2
e010678,1,0.0,0.1666666666666666,0.1666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.0,3
e002931,0,0.75,0.0,0.0,0.5,0.8333333333333334,0.0,1.0,2.0,20
e000025,1,0.5,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.0,2.0,17
e001471,0,0.25,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,2.0,8
e000360,0,0.25,0.1666666666666666,0.0,0.5,0.1666666666666666,0.0,1.0,2.0,8
e000818,1,0.25,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1.0,2.0,11
e011396,1,0.0,0.1666666666666666,0.0,0.8333333333333334,0.8333333333333334,0.1666666666666666,1.0,0.0,3
e004310,0,0.5,0.6666666666666666,0.1666666666666666,0.5,0.5,0.3333333333333333,0.5,1.0,13
e007770,1,0.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.1666666666666666,0.0,0.0,3
e002784,1,0.0,0.8333333333333334,0.1666666666666666,0.5,0.8333333333333334,0.1666666666666666,0.6666666666666666,0.0,3
e011413,1,0.25,0.1666666666666666,0.1666666666666666,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,9
e007192,1,0.25,0.1666666666666666,0.0,0.3333333333333333,0.1666666666666666,0.0,0.8333333333333334,2.0,11
e003019,0,0.25,0.0,0.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666,2.0,8
e002248,1,0.25,0.5,0.0,0.5,1.0,0.5,1.0,1.0,10
e008354,1,0.25,0.0,0.0,0.0,0.0,0.1666666666666666,1.0,2.0,11
e007552,1,0.5,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.0,15
e002260,1,0.0,0.1666666666666666,0.0,1.0,0.1666666666666666,0.6666666666666666,0.8333333333333334,2.0,5
e002506,0,0.25,0.0,0.8333333333333334,0.0,0.1666666666666666,0.8333333333333334,0.1666666666666666,1.0,7
e009055,1,0.0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333334,0.5,1.0,4
e000994,1,0.0,0.3333333333333333,0.5,0.8333333333333334,0.1666666666666666,1.0,0.8333333333333334,2.0,5
e002437,0,0.25,0.3333333333333333,0.6666666666666666,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.5,0.0,6
